City,Country,Latitude,Longitude
New York,USA,40.7128,-74.0060
Los Angeles,USA,34.0522,-118.2437
Chicago,USA,41.8781,-87.6298
Houston,USA,29.7604,-95.3698
Phoenix,USA,33.4484,-112.0740
London,UK,51.5074,-0.1278
Manchester,UK,53.4808,-2.2426
Birmingham,UK,52.4862,-1.8904
Paris,France,48.8566,2.3522
Lyon,France,45.7640,4.8357
Berlin,Germany,52.5200,13.4050
Munich,Germany,48.1351,11.5820
Tokyo,Japan,35.6895,139.6917
Osaka,Japan,34.6937,135.5023
Seoul,South Korea,37.5665,126.9780
Busan,South Korea,35.1796,129.0756
Beijing,China,39.9042,116.4074
Shanghai,China,31.2304,121.4737
Delhi,India,28.7041,77.1025
Mumbai,India,19.0760,72.8777
Bangalore,India,12.9716,77.5946
Sydney,Australia,-33.8688,151.2093
Melbourne,Australia,-37.8136,144.9631
Brisbane,Australia,-27.4698,153.0251
Toronto,Canada,43.6511,-79.3470
Vancouver,Canada,49.2827,-123.1207
Montreal,Canada,45.5017,-73.5673
Rio de Janeiro,Brazil,-22.9068,-43.1729
Sao Paulo,Brazil,-23.5505,-46.6333
Buenos Aires,Argentina,-34.6037,-58.3816
Lima,Peru,-12.0464,-77.0428
Cairo,Egypt,30.0444,31.2357
Johannesburg,South Africa,-26.2041,28.0473
Moscow,Russia,55.7558,37.6173
Saint Petersburg,Russia,59.9311,30.3609
Istanbul,Turkey,41.0082,28.9784
Ankara,Turkey,39.9334,32.8597
Dubai,UAE,25.2048,55.2708
Abu Dhabi,UAE,24.4539,54.3773
Chennai,India,13.0827,80.2707
Pondicherry,India,11.9416,79.8083
Kolkata,India,22.5726,88.3639
Hyderabad,India,17.3850,78.4867
Ahmedabad,India,23.0225,72.5714
Jaipur,India,26.9124,75.7873
Lucknow,India,26.8467,80.9462
Nagpur,India,21.1458,79.0882
Indore,India,22.7196,75.8577
Bhubaneswar,India,20.2961,85.8245
Kathmandu,Nepal,27.7172,85.3240
Thimphu,Bhutan,27.4728,89.6390
Colombo,Sri Lanka,6.9271,79.8612
Malé,Maldives,4.1755,73.5093
Yangon,Myanmar,16.8409,96.1735
Bangkok,Thailand,13.7563,100.5018
Hanoi,Vietnam,21.0278,105.8342
Ho Chi Minh City,Vietnam,10.8231,106.6297
Jakarta,Indonesia,-6.2088,106.8456
Bali,Indonesia,-8.3405,115.0920
Kuala Lumpur,Malaysia,3.1390,101.6869
Singapore,Singapore,1.3521,103.8198
Manila,Philippines,14.5995,120.9842
Helsinki,Finland,60.1695,24.9354
Oslo,Norway,59.9139,10.7522
Stockholm,Sweden,59.3293,18.0686
Copenhagen,Denmark,55.6761,12.5683
Lisbon,Portugal,38.7169,-9.1390
Barcelona,Spain,41.3851,2.1734
Valencia,Spain,39.4699,-0.3763
Athens,Greece,37.9838,23.7275
Budapest,Hungary,47.4979,19.0402
Warsaw,Poland,52.2297,21.0122
Prague,Czech Republic,50.0755,14.4378
Vienna,Austria,48.2082,16.3738
Lagos,Nigeria,6.5244,3.3792
Accra,Ghana,5.6037,-0.1870
Nairobi,Kenya,-1.2921,36.8219
Dar es Salaam,Tanzania,-6.7924,39.2083
Casablanca,Morocco,33.5731,-7.5898
Addis Ababa,Ethiopia,9.03,38.74
Perth,Australia,-31.9505,115.8605
Adelaide,Australia,-34.9285,138.6007
Wellington,New Zealand,-41.2865,174.7762
Auckland,New Zealand,-36.8485,174.7633
Santiago,Chile,-33.4489,-70.6693
Quito,Ecuador,-0.1807,-78.4678
Bogotá,Colombia,4.7110,-74.0721
Caracas,Venezuela,10.4806,-66
Salem,India,11.6643,78.1460
Tiruchirappalli,India,10.7905,78.7047
Coimbatore,India,11.0168,76.9558
Madurai,India,9.9252,78.1198
Erode,India,11.3410,77.7172
Tirunelveli,India,8.7139,77.7564
Vellore,India,12.9165,79.1325
Tirupati,India,13.6288,79.4192
Mysore,India,12.2958,76.6394
Hubli,India,15.3647,75.1237
Belgaum,India,15.8497,74.4977
Gulbarga,India,17.3297,76.8343
Amritsar,India,31.6340,74.8723
Jalandhar,India,31.3260,75.5762
Patna,India,25.5941,85.1376
Varanasi,India,25.3176,82.9739
Kanpur,India,26.4499,80.3319
Meerut,India,28.9845,77.7064
Agra,India,27.1767,78.0081
Guwahati,India,26.1445,91.7362
Shillong,India,25.5788,91.8933
Imphal,India,24.8170,93.9368
Kohima,India,25.6751,94.1104
Gangtok,India,27.3389,88.6065
Raipur,India,21.2514,81.6296
Bhopal,India,23.2599,77.4126
Indore,India,22.7196,75.8577
Jabalpur,India,23.1815,79.9864
Ranchi,India,23.3441,85.3096
Bhubaneshwar,India,20.2961,85.8245
Cuttack,India,20.4625,85.8828
City,Country,Latitude,Longitude
Salzburg,Austria,47.8095,13.0550
Innsbruck,Austria,47.2692,11.4041
Graz,Austria,47.0707,15.4395
Nuremberg,Germany,49.4521,11.0767
Dresden,Germany,51.0504,13.7373
Leipzig,Germany,51.3397,12.3731
Bristol,UK,51.4545,-2.5879
Leeds,UK,53.8008,-1.5491
Glasgow,UK,55.8642,-4.2518
Marseille,France,43.2965,5.3698
Nice,France,43.7102,7.2620
Toulouse,France,43.6047,1.4442
Valencia,Spain,39.4699,-0.3763
Seville,Spain,37.3891,-5.9845
Bilbao,Spain,43.2630,-2.9349
Naples,Italy,40.8518,14.2681
Turin,Italy,45.0703,7.6869
Florence,Italy,43.7696,11.2558
Porto,Portugal,41.1496,-8.6110
Coimbra,Portugal,40.2033,-8.4103
Bruges,Belgium,51.2093,3.2247
Antwerp,Belgium,51.2194,4.4025
Ghent,Belgium,51.0543,3.7174
Zurich,Switzerland,47.3769,8.5417
Geneva,Switzerland,46.2044,6.1432
Basel,Switzerland,47.5596,7.5886
Osijek,Croatia,45.5547,18.6939
Split,Croatia,43.5081,16.4402
Zagreb,Croatia,45.8150,15.9785
Tallinn,Estonia,59.4370,24.7536
Riga,Latvia,56.9496,24.1052
Vilnius,Lithuania,54.6872,25.2797
Tartu,Estonia,58.3776,26.7290
Lviv,Ukraine,49.8397,24.0297
Odessa,Ukraine,46.4825,30.7233
Kharkiv,Ukraine,50.0077,36.2310
Bucharest,Romania,44.4268,26.1025
Cluj-Napoca,Romania,46.7712,23.6236
Brasov,Romania,45.6580,25.6012
Sofia,Bulgaria,42.6977,23.3219
Plovdiv,Bulgaria,42.1354,24.7453
Varna,Bulgaria,43.2141,27.9147
Skopje,North Macedonia,41.9981,21.4254
Tirana,Albania,41.3275,19.8189
Podgorica,Montenegro,42.4410,19.2620
Sarajevo,Bosnia and Herzegovina,43.8563,18.4131
Belgrade,Serbia,44.8176,20.4569
Nis,Serbia,43.3209,21.8958
Ljubljana,Slovenia,46.0569,14.5058
